Time and Date, temperature (ºC), temperature (ºF), humidity (%), pressure (hPa)
20:01:56 26/01/2024, 23.24, 73.82, 58.66, 907.56
20:02:57 26/01/2024, 23.19, 73.74, 58.80, 907.65
20:03:57 26/01/2024, 23.21, 73.78, 58.93, 907.57
20:04:57 26/01/2024, 23.18, 73.72, 58.99, 907.55
20:05:57 26/01/2024, 23.60, 74.48, 57.99, 907.57
20:06:57 26/01/2024, 23.41, 74.14, 58.37, 907.59
20:07:57 26/01/2024, 23.30, 73.94, 58.70, 907.60
20:08:57 26/01/2024, 23.40, 74.12, 58.59, 907.61
20:09:57 26/01/2024, 23.34, 74.01, 58.65, 907.62
20:10:57 26/01/2024, 23.38, 74.09, 58.64, 907.64
20:11:57 26/01/2024, 23.39, 74.11, 58.44, 907.65
20:12:57 26/01/2024, 23.37, 74.07, 58.47, 907.70
20:13:57 26/01/2024, 23.50, 74.29, 58.14, 907.72
20:14:58 26/01/2024, 23.48, 74.26, 58.13, 907.66
20:15:58 26/01/2024, 23.32, 73.97, 58.37, 907.62
20:16:58 26/01/2024, 23.23, 73.81, 58.82, 907.76
20:17:58 26/01/2024, 23.25, 73.84, 58.72, 907.65
20:18:58 26/01/2024, 23.38, 74.08, 58.61, 907.74
20:19:58 26/01/2024, 23.47, 74.25, 58.37, 907.76
20:20:58 26/01/2024, 23.30, 73.93, 58.78, 907.65
20:21:58 26/01/2024, 23.27, 73.89, 58.79, 907.64
20:22:58 26/01/2024, 22.97, 73.35, 59.55, 907.77
20:23:58 26/01/2024, 22.95, 73.31, 59.66, 907.68
20:24:58 26/01/2024, 23.11, 73.60, 59.26, 907.65
20:25:58 26/01/2024, 23.09, 73.57, 59.21, 907.59
20:26:58 26/01/2024, 23.13, 73.63, 59.08, 907.64
20:27:58 26/01/2024, 22.95, 73.32, 59.54, 907.63
20:28:58 26/01/2024, 23.00, 73.39, 59.51, 907.66
20:29:58 26/01/2024, 22.87, 73.16, 59.83, 907.67
20:30:58 26/01/2024, 22.88, 73.19, 59.92, 907.77
20:31:59 26/01/2024, 23.23, 73.81, 59.08, 907.68
20:32:59 26/01/2024, 23.15, 73.67, 59.08, 907.78
20:33:59 26/01/2024, 23.15, 73.67, 58.97, 907.62
20:34:59 26/01/2024, 23.07, 73.52, 59.34, 907.63
20:35:59 26/01/2024, 23.27, 73.88, 58.74, 907.71
20:36:59 26/01/2024, 23.36, 74.05, 58.48, 907.72
20:37:59 26/01/2024, 23.10, 73.58, 59.16, 907.73
20:38:59 26/01/2024, 22.96, 73.34, 59.54, 907.73
20:39:59 26/01/2024, 22.81, 73.06, 59.99, 907.72
20:40:59 26/01/2024, 22.84, 73.11, 60.18, 907.84
20:41:59 26/01/2024, 22.67, 72.80, 60.45, 907.89
20:42:59 26/01/2024, 22.80, 73.04, 60.38, 907.87
20:43:59 26/01/2024, 22.78, 73.01, 60.35, 907.92
20:44:59 26/01/2024, 22.78, 73.00, 60.29, 907.96
20:45:59 26/01/2024, 22.68, 72.83, 60.77, 907.88
20:46:59 26/01/2024, 22.84, 73.11, 60.53, 907.95
20:47:59 26/01/2024, 22.89, 73.20, 60.21, 907.91
20:49:00 26/01/2024, 22.83, 73.10, 60.30, 907.99
20:50:00 26/01/2024, 22.90, 73.23, 60.33, 908.02
20:51:00 26/01/2024, 22.93, 73.27, 60.25, 907.95
20:52:00 26/01/2024, 22.83, 73.09, 60.53, 908.09
20:53:00 26/01/2024, 22.52, 72.54, 61.38, 908.02
20:54:00 26/01/2024, 22.57, 72.63, 61.40, 908.07
20:55:00 26/01/2024, 22.70, 72.87, 61.00, 908.02
20:56:00 26/01/2024, 22.90, 73.23, 60.35, 908.02
20:57:00 26/01/2024, 22.80, 73.03, 60.47, 908.02
20:58:00 26/01/2024, 22.78, 73.01, 60.62, 908.00
20:59:00 26/01/2024, 22.72, 72.90, 60.97, 908.00
21:00:00 26/01/2024, 22.86, 73.14, 60.50, 908.03
21:01:00 26/01/2024, 22.89, 73.21, 60.52, 907.95
21:02:00 26/01/2024, 22.74, 72.93, 60.91, 907.97
21:03:00 26/01/2024, 22.71, 72.89, 61.05, 907.93
21:04:01 26/01/2024, 22.55, 72.59, 61.49, 908.04
21:05:01 26/01/2024, 22.58, 72.64, 61.38, 908.00
21:06:01 26/01/2024, 22.63, 72.74, 61.25, 908.03
21:07:01 26/01/2024, 22.63, 72.73, 61.23, 908.02
21:08:01 26/01/2024, 22.68, 72.83, 61.15, 908.05
21:09:01 26/01/2024, 22.61, 72.70, 61.17, 907.94
21:10:01 26/01/2024, 22.61, 72.70, 61.19, 907.91
21:11:01 26/01/2024, 22.45, 72.42, 61.78, 907.93
21:12:01 26/01/2024, 22.74, 72.94, 60.91, 907.95
21:13:01 26/01/2024, 22.91, 73.24, 60.54, 907.98
21:14:01 26/01/2024, 22.79, 73.01, 60.52, 907.98
21:15:01 26/01/2024, 22.64, 72.76, 61.10, 907.96
21:16:01 26/01/2024, 22.70, 72.86, 61.00, 907.96
21:17:01 26/01/2024, 22.85, 73.12, 60.38, 907.91
